chrom,pos,PM,numMeth,numUnmeth,Count,ind
chr1,39061807,0.86,76,12,88,600001
chr1,39061839,0.8,70,17,87,600002
chr1,39061893,0.82,32,7,39,600003
chr1,39061909,0.75,27,9,36,600004
chr1,39061981,0.75,49,16,65,600005
chr1,39062021,0.91,81,8,89,600006
chr1,39062084,0.78,63,18,81,600007
chr1,39062147,0.91,74,7,81,600008
chr1,39062152,0.94,77,5,82,600009
chr1,39062337,0.93,77,6,83,600010
chr1,39062355,0.89,82,10,92,600011
chr1,39062407,0.94,80,5,85,600012
chr1,39062428,0.76,66,21,87,600013
chr1,39062533,1,65,0,65,600014
chr1,39062548,0.97,61,2,63,600015
chr1,39062599,0.73,45,17,62,600016
chr1,39062614,0.85,53,9,62,600017
chr1,39062690,0.8,64,16,80,600018
chr1,39062703,0.91,70,7,77,600019
chr1,39062706,0.97,72,2,74,600020
chr1,39062746,0.95,56,3,59,600021
chr1,39062929,0.94,87,6,93,600022
chr1,39062936,0.95,81,4,85,600023
chr1,39062950,0.68,58,27,85,600024
chr1,39062989,0.84,47,9,56,600025
chr1,39063099,0.94,49,3,52,600026
chr1,39063101,0.96,48,2,50,600027
chr1,39063242,0.69,42,19,61,600028
chr1,39063296,0.97,87,3,90,600029
chr1,39063308,0.97,89,3,92,600030
chr1,39063311,0.88,81,11,92,600031
chr1,39063393,0.69,47,21,68,600032
chr1,39063436,0.94,77,5,82,600033
chr1,39063446,0.93,83,6,89,600034
chr1,39063522,0.93,87,7,94,600035
chr1,39063777,0.75,52,17,69,600036
chr1,39064024,0.95,87,5,92,600037
chr1,39064317,0.86,88,14,102,600038
chr1,39064549,0.83,38,8,46,600039
chr1,39064590,0.79,34,9,43,600040
chr1,39064599,0.78,39,11,50,600041
chr1,39064769,0.57,56,43,99,600042
chr1,39064847,0.82,83,18,101,600043
chr1,39065002,0.49,49,52,101,600044
chr1,39065308,0.38,41,68,109,600045
chr1,39065328,0.29,33,82,115,600046
chr1,39065555,0.28,30,76,106,600047
chr1,39066158,0.77,67,20,87,600048
chr1,39066500,0.8,70,18,88,600049
chr1,39066586,0.38,28,45,73,600050
chr1,39066788,0.67,72,35,107,600051
chr1,39066943,0.8,89,22,111,600052
chr1,39066972,0.73,72,26,98,600053
chr1,39067248,0.67,68,34,102,600054
chr1,39067286,0.95,92,5,97,600055
chr1,39067312,0.92,90,8,98,600056
chr1,39067549,0.8,66,17,83,600057
chr1,39067583,0.31,21,47,68,600058
chr1,39067888,0.89,55,7,62,600059
chr1,39067938,0.65,20,11,31,600060
chr1,39068105,0.88,84,12,96,600061
chr1,39068125,0.66,40,21,61,600062
chr1,39068159,0.95,75,4,79,600063
chr1,39068168,0.7,60,26,86,600064
chr1,39068386,0.66,76,40,116,600065
chr1,39068434,0.88,90,12,102,600066
chr1,39068704,0.53,24,21,45,600067
chr1,39069022,0.84,70,13,83,600068
chr1,39069314,0.85,98,17,115,600069
chr1,39069347,0.86,84,14,98,600070
chr1,39069399,0.86,84,14,98,600071
chr1,39069436,0.6,57,38,95,600072
chr1,39069682,0.96,69,3,72,600073
chr1,39069693,0.87,72,11,83,600074
chr1,39069739,0.88,85,12,97,600075
chr1,39069823,0.72,60,23,83,600076
chr1,39069948,0.52,43,40,83,600077
chr1,39069956,0.88,81,11,92,600078
chr1,39069964,0.97,87,3,90,600079
chr1,39069968,0.95,89,5,94,600080
chr1,39069986,0.9,76,8,84,600081
chr1,39070050,0.75,57,19,76,600082
chr1,39070171,0.96,47,2,49,600083
chr1,39070176,0.89,48,6,54,600084
chr1,39070214,0.97,76,2,78,600085
chr1,39070216,0.99,82,1,83,600086
chr1,39070220,0.58,50,36,86,600087
chr1,39070250,0.92,92,8,100,600088
chr1,39070364,0.93,90,7,97,600089
chr1,39070486,0.46,38,44,82,600090
chr1,39070500,0.51,43,42,85,600091
chr1,39070598,0.68,64,30,94,600092
chr1,39070620,0.92,84,7,91,600093
chr1,39070808,0.79,45,12,57,600094
chr1,39071085,0.62,36,22,58,600095
chr1,39071100,0.97,59,2,61,600096
chr1,39071155,0.56,33,26,59,600097
chr1,39071199,0.65,42,23,65,600098
chr1,39071487,0.14,11,66,77,600099
chr1,39071931,0.93,79,6,85,600100
chr1,39072043,0.83,44,9,53,600101
chr1,39072082,0.89,55,7,62,600102
